scenario,frame,axis,raw_input,measured_final,intended_stateful_final,expected_output_axis,bridge_output_value,vjoy_write_value,wrote_this_tick,write_status,final_abs_diff,output_abs_diff
axis_sine_fake,27,Roll,0.871916,0.8090808477636584,0.8090899692679469,X,0.8090808477636584,0.8090808477636584,True,fake_write_recorded,9e-06,9e-06
axis_sine_fake,27,Pitch,0.532891,0.41140902963855563,0.4114098047786068,Y,0.41140902963855563,0.41140902963855563,True,fake_write_recorded,1e-06,1e-06
axis_sine_fake,27,Throttle,0.59089,0.558532415990879,0.5585355125908089,Z,0.558532415990879,0.558532415990879,True,fake_write_recorded,3e-06,3e-06
axis_sine_fake,27,Yaw,-0.293507,-0.04736397335957293,-0.04736000942534577,RX,-0.04736397335957293,-0.04736397335957293,True,fake_write_recorded,4e-06,4e-06
axis_sine_fake,27,Aux 1,-0.871916,-0.8368242530452629,-0.8368325513882938,RY,-0.8368242530452629,-0.8368242530452629,True,fake_write_recorded,8e-06,8e-06
axis_sine_fake,27,Aux 2,-0.134356,-0.16433129791217682,-0.16432515980188117,RZ,-0.16433129791217682,-0.16433129791217682,True,fake_write_recorded,6e-06,6e-06
axis_sine_fake,28,Roll,0.84918,0.7801462761232906,0.7801626527804227,X,0.7801462761232906,,False,skipped_rate_limited,1.6e-05,1.6e-05
axis_sine_fake,28,Pitch,0.478965,0.36495492617788966,0.3649597944423171,Y,0.36495492617788966,,False,skipped_rate_limited,5e-06,5e-06
axis_sine_fake,28,Throttle,0.559045,0.526772220748284,0.5267705240015511,Z,0.526772220748284,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,28,Yaw,-0.353933,-0.08101334850383057,-0.08101059424311993,RX,-0.08101334850383057,,False,skipped_rate_limited,3e-06,3e-06
axis_sine_fake,28,Aux 1,-0.84918,-0.8112082843879479,-0.8112230321804205,RY,-0.8112082843879479,,False,skipped_rate_limited,1.5e-05,1.5e-05
axis_sine_fake,28,Aux 2,-0.070176,-0.11689551463682556,-0.11689003189952821,RZ,-0.11689551463682556,,False,skipped_rate_limited,5e-06,5e-06
